n,gamma,eps,diameter,cover,omega_active,cover_margin,m
2,78.521097,1.0,46.015712455152865,1,0,-7.815970093361102e-14,4
2,158.383691,1.0,143.07300752695483,1,0,-4.263256414560601e-14,4
2,110.779158,1.0,56.1560111084467,1,0,-4.973799150320701e-14,4
2,76.162962,1.0,43.54436293776948,1,0,0.0,4
2,132.855569,1.0,59.22848391040214,1,1,0.0,6
2,48.807092,1.0,55.8352426900365,1,0,-2.4868995751603507e-14,4
2,9.248258,1.0,322.0176973022972,1,1,0.0,6
2,53.424777,1.0,57.78258043184854,1,1,0.0,7
2,128.392986,1.0,65.46844456168579,1,0,-7.105427357601002e-15,4
2,50.368405,1.0,83.55902970255522,1,0,-1.1368683772161603e-13,4
2,124.665478,1.0,64.4133832389818,1,0,-8.526512829121202e-14,4
2,163.835718,1.0,186.26591749249187,1,1,-7.105427357601002e-14,6
2,86.901241,1.0,14.639043631985212,1,0,-1.092459456231154e-13,4
2,79.497145,1.0,46.28276680335091,1,0,0.0,4
2,139.982981,1.0,120.68621229132013,1,0,-2.842170943040401e-14,4
2,13.032926,1.0,222.5577896998992,1,1,-4.263256414560601e-14,7
2,5.688454,1.0,383.14853218974156,1,1,-2.842170943040401e-14,6
2,90.599381,1.0,23.15694549193465,0,0,-0.23307070334590385,4
2,23.857558,1.0,75.39842307878013,1,0,-1.4210854715202004e-14,4
2,106.644394,1.0,24.19069990001404,1,0,-3.552713678800501e-15,4
2,162.115694,1.0,110.164517782043,1,0,-7.105427357601002e-15,4
2,78.858077,1.0,36.048474428630136,1,0,-1.2434497875801753e-13,4
2,41.217839,1.0,94.33865048879277,1,0,0.0,4
2,175.432504,1.0,464.0324007441024,1,0,0.0,4
2,38.934335,1.0,58.751367979359024,1,0,-5.684341886080802e-14,4
2,16.408065,1.0,202.07130410670533,1,1,0.0,5
2,159.920311,1.0,103.51017607304155,1,1,-1.4210854715202004e-14,5
2,22.25503,1.0,110.61411593910132,1,0,-2.842170943040401e-14,4
2,15.245284,1.0,183.7174943130321,1,0,-2.842170943040401e-14,4
2,130.126305,1.0,92.2618156810135,1,0,-2.1316282072803006e-14,4
2,151.798856,1.0,147.11080525330695,1,1,0.0,6
2,132.556001,1.0,85.4305044982733,1,1,-7.815970093361102e-14,5
2,71.832702,1.0,55.63686588051332,1,1,-1.1013412404281553e-13,5
2,25.765719,1.0,101.67685283213241,1,1,-2.842170943040401e-14,4
2,169.105913,1.0,194.0269911784586,1,0,-2.842170943040401e-14,4
2,63.716237,1.0,42.5627841747453,1,0,0.0,4
2,39.065468,1.0,87.63894894578317,1,0,0.0,4
2,107.632684,1.0,43.48181991310556,1,0,0.0,4
2,118.78006,1.0,83.14491919989129,1,0,0.0,4
2,150.157782,1.0,119.57546497300358,1,0,-1.4210854715202004e-14,4
2,65.227492,1.0,75.122351015519,1,0,0.0,4
2,11.253988,1.0,169.72225227662614,1,1,-1.4210854715202004e-14,6
2,16.189034,1.0,214.81571094953915,1,0,0.0,4
2,31.449925,1.0,60.436977900387205,1,0,-6.394884621840902e-14,4
2,161.599427,1.0,136.29426721762943,1,0,-5.684341886080802e-14,4
2,153.852342,1.0,154.96214782139282,1,0,-8.526512829121202e-14,4
2,124.61506,1.0,36.834961345314206,1,1,-5.684341886080802e-14,4
2,67.594248,1.0,22.521314963001842,1,0,-3.197442310920451e-14,4
2,9.259677,1.0,159.53652593998297,1,1,-1.4210854715202004e-14,3
2,143.420935,1.0,108.80730366828708,1,0,-4.973799150320701e-14,4
2,170.766322,1.0,226.7027633130352,1,0,-9.947598300641403e-14,4
2,106.776622,1.0,48.64833103885491,1,0,0.0,4
2,52.417788,1.0,93.78779291786825,1,0,0.0,4
2,165.109065,1.0,210.04729424872835,1,0,-8.526512829121202e-14,4
2,123.109981,1.0,74.55186369129275,1,0,-7.105427357601002e-15,4
2,61.814,1.0,48.959162566099074,1,0,-3.552713678800501e-15,4
2,110.464046,1.0,25.004169931152177,1,0,-4.973799150320701e-14,4
2,20.820048,1.0,112.3078863428187,1,0,-1.4210854715202004e-14,4
2,11.747736,1.0,318.5394040848716,1,0,-5.684341886080802e-14,4
2,145.814017,1.0,81.05142019896891,1,1,-3.552713678800501e-14,6
2,47.208106,1.0,65.8967764051013,1,0,0.0,4
2,43.971119,1.0,68.31304592059291,1,0,-9.947598300641403e-14,4
2,150.916861,1.0,64.18055914282478,1,0,0.0,4
2,8.530652,1.0,210.14670627838322,1,0,-2.842170943040401e-14,4
2,117.185575,1.0,48.166365893840236,1,0,-5.684341886080802e-14,4
2,15.327638,1.0,245.61307737893665,1,0,-9.947598300641403e-14,4
2,94.372674,1.0,53.74824838590699,1,0,-1.2079226507921703e-13,4
2,104.778795,1.0,60.4238040622947,1,0,0.0,4
2,0.52248,1.0,558.9794365450549,1,1,-1.1368683772161603e-13,4
2,91.186292,1.0,58.53014401084241,0,0,-0.4177482176153866,4
2,28.393763,1.0,86.75208017841668,1,0,0.0,4
2,121.192727,1.0,34.35713885455241,1,0,-6.394884621840902e-14,4
2,125.362031,1.0,71.35172515076917,1,0,-9.947598300641403e-14,4
2,109.218136,1.0,41.93634928181301,1,0,-2.842170943040401e-14,4
2,123.780775,1.0,32.2964835979193,1,0,0.0,4
2,20.721947,1.0,107.51024462194289,1,0,-1.1368683772161603e-13,4
2,26.344575,1.0,69.5602443048133,1,0,-7.105427357601002e-15,4
2,38.239001,1.0,72.79402362176269,1,0,0.0,4
2,60.484854,1.0,70.86862406499043,1,0,-2.1316282072803006e-14,4
2,21.419854,1.0,95.49265487620251,1,1,-9.237055564881302e-14,6
2,172.53724,1.0,388.74853285731746,1,0,0.0,4
2,82.294745,1.0,47.048470125380966,1,0,-3.552713678800501e-15,4
2,87.179227,1.0,41.067150660886824,1,0,0.0,4
2,41.411108,1.0,77.93709810162512,1,1,-1.0658141036401503e-13,6
2,150.806889,1.0,168.92550794779615,1,0,-2.842170943040401e-14,4
2,59.212094,1.0,22.639955640998323,1,0,-4.085620730620576e-14,4
2,137.207131,1.0,45.70905103867469,1,0,-8.881784197001252e-14,4
2,174.32221,1.0,380.95559578035835,1,0,0.0,4
2,84.418858,1.0,53.11055161078583,1,0,0.0,4
2,19.375916,1.0,133.26653961778652,1,0,0.0,4
2,38.644636,1.0,106.74056523343798,1,1,-3.552713678800501e-14,6
2,44.851272,1.0,74.93269160012156,1,0,-2.842170943040401e-14,4
2,39.479123,1.0,40.77071810888326,1,0,-1.1368683772161603e-13,4
2,99.791639,1.0,23.042445374831075,1,0,-4.796163466380676e-14,4
2,26.016775,1.0,62.10501555199638,0,1,-0.2760990864437751,4
2,108.812507,1.0,61.824685013635516,1,0,-3.552713678800501e-14,4
2,83.443304,1.0,26.0766846111099,1,0,0.0,4
2,119.167036,1.0,25.775670277974164,1,0,-4.085620730620576e-14,4
2,10.37773,1.0,347.91781315326017,1,1,-2.842170943040401e-14,5
2,31.422092,1.0,116.58525748532068,1,0,-2.1316282072803006e-14,4
2,129.62937,1.0,37.694270184630675,1,0,-1.7763568394002505e-14,4
2,152.739297,1.0,110.0519212943909,1,1,-1.4210854715202004e-14,6
2,25.120258,1.0,74.63087077655621,1,0,0.0,4
2,91.311318,1.0,34.39713948644603,0,0,-0.09864817246378266,4
2,129.57409,1.0,84.74951659750928,1,1,0.0,5
2,1.988133,1.0,567.1732781458808,1,1,-5.684341886080802e-14,5
2,36.029599,1.0,119.2442291941783,1,0,-7.815970093361102e-14,4
2,32.986789,1.0,88.2547113498007,1,1,0.0,5
2,173.77767,1.0,383.1343114298553,1,1,0.0,6
2,76.807336,1.0,62.61669219134607,1,0,-3.197442310920451e-14,4
2,93.182995,1.0,20.499357730394152,1,0,-2.6645352591003757e-14,4
2,65.640325,1.0,54.03237395534902,1,0,-3.552713678800501e-14,4
2,34.049097,1.0,113.75031371531607,1,0,-5.684341886080802e-14,4
2,154.807571,1.0,136.01412393604707,1,0,0.0,4
2,52.105841,1.0,78.81980472977793,1,1,0.0,5
2,49.850634,1.0,53.76357973449155,1,0,0.0,4
2,162.150752,1.0,209.09558466806968,1,0,0.0,4
2,150.430637,1.0,98.96992657629951,1,0,-4.973799150320701e-14,4
2,99.921486,1.0,51.47384214675401,0,1,-0.2576445430943224,6
2,177.148263,1.0,691.7688020334962,0,1,-0.02427086824059188,6
2,65.139927,1.0,42.97609186234749,1,0,-2.842170943040401e-14,4
2,27.45395,1.0,47.94446820658198,1,0,0.0,4
2,43.819148,1.0,73.47008380369604,1,0,0.0,4
2,16.479513,1.0,187.36297411717354,1,0,0.0,4
